,Word,Frequency
0,trump,1940
1,hillary,923
2,clinton,872
3,new,808
4,us,806
5,rt,666
6,election,582
7,says,552
8,world,495
9,russia,455
10,war,449
11,news,418
12,video,416
13,president,393
14,washington,391
15,post,361
16,donald,352
17,brexit,348
18,comment,339
19,fbi,338
20,obama,321
21,police,314
22,america,308
23,man,295
24,may,256
25,china,256
26,uk,252
27,government,250
28,syria,247
29,day,242
30,russian,241
31,one,232
32,trumps,232
33,people,232
34,first,231
35,could,228
36,vote,226
37,media,220
38,state,217
39,deal,212
40,white,203
41,campaign,199
42,house,198
43,black,193
44,year,190
45,de,185
46,wikileaks,185
47,years,185
48,pm,184
49,back,184
50,breaking,184
51,emails,183
52,two,177
53,putin,176
54,american,173
55,life,171
56,get,171
57,report,170
58,found,170
59,woman,166
60,women,162
61,say,162
62,like,161
63,killed,161
64,win,160
65,india,160
66,shutdown,159
67,attack,157
68,eu,156
69,time,154
70,bbcnews,153
71,calls,153
72,saudi,152
73,watch,151
74,dead,147
75,big,146
76,death,141
77,photos,141
78,court,141
79,wall,140
80,end,140
81,email,138
82,investigation,137
83,protests,136
84,clintons,135
85,top,135
86,week,135
87,north,132
88,know,129
89,border,126
90,next,126
91,plan,126
92,questions,125
93,make,125
94,un,123
95,voting,120
96,la,120
97,democrats,120
98,california,118
99,last,118
100,iran,118
101,americans,117
102,right,117
103,open,117
104,isis,116
105,case,116
106,go,115
107,hillarys,115
108,military,114
109,family,114
110,show,113
111,christmas,112
112,children,112
113,million,111
114,best,111
115,real,110
116,live,109
117,change,109
118,help,108
119,bill,108
120,source,108
121,take,108
122,want,107
123,arrested,107
124,south,106
125,things,106
126,bbcbreaking,106
127,political,105
128,control,105
129,former,105
130,party,105
131,dont,104
132,john,104
133,crisis,103
134,still,103
135,latest,102
136,france,102
137,national,101
138,cup,101
139,minister,101
140,elections,100
141,wins,100
142,africa,100
143,states,99
144,talks,99
145,korea,99
146,another,98
147,would,98
148,chief,96
149,law,95
150,way,95
151,gets,95
152,republicans,94
153,rock,93
154,protesters,93
155,three,93
156,stop,92
157,brazil,92
158,money,92
159,gold,91
160,dr,91
161,george,91
162,fight,91
163,syrian,90
