,Word,Frequency
0,rt,299
1,clickhole,225
2,man,216
3,new,201
4,report,138
5,trump,132
6,visit,105
7,news,100
8,woman,96
9,week,90
10,national,88
11,highlights,79
12,know,71
13,study,68
14,house,68
15,time,65
16,one,63
17,finds,62
18,day,62
19,like,58
20,family,58
21,nation,57
22,americans,55
23,people,54
24,onion,53
25,school,53
26,white,53
27,get,53
28,every,51
29,kavanaugh,50
30,back,49
31,little,49
32,still,49
33,area,48
34,first,47
35,going,46
36,getting,44
37,fucking,43
38,theonion,43
39,would,43
40,years,42
41,cant,42
42,could,41
43,life,39
44,-year-old,38
45,see,38
46,around,38
47,make,38
48,home,38
49,parents,37
50,latest,36
51,high,36
52,really,36
53,last,35
54,good,34
55,way,34
56,even,34
57,today,34
58,god,34
59,says,34
60,work,34
61,year,34
62,enough,33
63,go,32
64,children,32
65,weekend,32
66,already,32
67,dont,32
68,never,32
69,right,31
70,world,31
71,announces,31
72,mom,31
73,game,30
74,american,30
75,shit,29
76,guy,29
77,christmas,28
78,media,28
79,women,28
80,doesnt,28
81,hell,28
82,stop,27
83,everyone,27
84,magazine,27
85,scientists,27
86,let,27
87,president,27
88,believe,27
89,worlds,27
90,take,27
91,dog,27
92,got,27
93,nations,27
94,cartoon,26
95,idea,26
96,away,26
97,million,26
98,hes,26
99,editorial,26
100,better,25
101,campaign,25
102,bad,25
103,mans,24
104,tips,24
105,friends,24
106,local,24
107,forced,24
108,kids,24
109,things,24
110,party,24
111,friend,23
112,poll,23
113,video,23
114,baby,23
115,journalism,23
116,thanksgiving,23
117,mueller,23
118,night,23
119,senate,23
120,unveils,23
121,sexual,22
122,dad,22
123,body,22
124,looking,22
125,football,22
126,death,22
127,court,22
128,made,22
129,food,22
130,country,22
131,majority,21
132,something,21
133,teacher,21
134,dead,21
135,without,21
136,look,21
137,case,21
138,nfl,21
139,making,21
140,another,21
141,together,21
142,big,21
143,reveals,21
144,plan,21
145,gets,20
146,entire,20
147,pictures,20
148,state,20
149,kid,20
150,unmatched,20
151,juggernaut,20
152,reporting,20
153,job,20
154,unstoppable,20
155,actually,20
156,exemplary,20
157,pope,20
158,releases,20
159,wants,19
160,much,19
161,place,19
162,watch,19
163,admits,19
164,come,19
165,heart,19
166,bill,19
167,old,19
168,horoscopes,19
169,tell,19
170,trumps,19
171,someone,19
172,finally,19
173,michael,19
174,start,19
175,pretty,19
176,want,19
177,black,19
178,claims,19
179,reportage,18
180,halloween,18
181,world-renowned,18
182,kind,18
183,find,18
184,room,18
185,father,18
186,amazon,18
187,george,18
188,fans,18
189,change,18
190,weather,18
191,introduces,18
192,john,18
193,times,18
194,say,18
195,human,18
196,employee,18
197,child,18
198,anyone,18
199,best,17
200,water,17
201,worried,17
202,popular,17
203,end,17
204,voters,17
205,midterms,17
206,men,17
207,city,17
208,season,17
209,self,17
210,looks,17
211,players,17
212,always,17
213,company,17
214,supreme,17
215,red,17
216,plans,17
217,th,17
218,couple,17
219,trying,17
220,put,17
221,give,17
222,single,17
223,student,17
224,whatever,17
225,kill,16
226,thing,16
227,said,16
228,next,16
229,use,16
230,line,16
231,students,16
232,york,16
233,political,16
234,gop,16
235,part,16
236,im,16
237,middle,16
238,college,16
239,prison,16
240,head,16
241,government,16
242,experts,16
243,many,16
244,taking,16
245,makes,16
246,history,16
247,show,16
248,needs,15
249,money,15
250,person,15
251,office,15
252,shows,15
253,deal,15
254,animals,15
255,waiting,15
256,top,15
257,outside,15
258,excited,15
259,wont,15
260,leave,15
261,keep,15
262,watching,15
263,democrats,15
264,free,15
265,cohen,15
266,asks,15
267,huge,15
268,fuck,15
269,facebook,15
270,great,15
271,female,15
272,long,15
273,space,15
274,think,15
275,hours,15
276,eating,14
277,boys,14
278,support,14
279,else,14
280,run,14
281,probably,14
282,ad,14
283,perfect,14
284,love,14
285,film,14
286,thought,14
287,yet,14
288,mother,14
289,online,14
290,jeff,14
291,obama,14
292,apartment,14
293,announce,14
294,using,14
295,donald,14
296,class,14
297,full,14
298,girlfriend,14
299,living,14
300,weird,14
301,sex,14
302,die,14
303,hand,14
304,need,13
305,days,13
306,inside,13
307,whole,13
308,name,13
309,happy,13
310,experience,13
311,takes,13
312,win,13
313,everything,13
314,hurricane,13
315,community,13
316,walking,13
317,melania,13
318,feel,13
319,begins,13
320,face,13
321,movie,13
322,bar,13
323,store,13
324,future,13
325,police,13
326,bush,13
327,nothing,13
328,young,13
329,billion,13
330,employees,13
331,starting,13
332,war,13
333,sick,13
334,shirt,13
335,clothes,12
336,incredible,12
337,minutes,12
338,also,12
339,voter,12
340,far,12
341,well,12
342,earth,12
343,officials,12
344,saudi,12
345,order,12
346,wall,12
347,must,12
348,climate,12
349,ever,12
350,thousands,12
351,came,12
352,please,12
353,try,12
354,number,12
355,teen,12
356,holiday,12
357,brett,12
358,straight,12
359,costume,12
360,ceo,12
361,gift,12
362,theyre,12
363,ted,12
364,recommend,12
365,cruz,12
366,pros,12
367,law,12
368,department,12
369,test,12
370,blood,12
371,youre,12
372,found,12
373,spends,12
374,giving,12
375,second,12
376,ice,11
377,cancer,11
378,massive,11
379,wearing,11
380,saudis,11
381,december,11
382,plane,11
383,ford,11
384,urges,11
385,restaurant,11
386,increase,11
387,flag,11
388,lost,11
389,robert,11
390,touch,11
391,open,11
392,called,11
393,drunk,11
394,footage,11
395,subway,11
396,fall,11
397,phone,11
398,presidential,11
399,wishes,11
400,character,11
401,coming,11
402,hasnt,11
403,investigation,11
404,cons,11
405,fox,11
406,thinking,11
407,francis,11
408,khashoggi,11
409,sure,11
410,gun,11
411,record,11
412,reports,11
413,announced,11
414,set,11
415,west,11
416,late,11
417,beautiful,11
418,started,11
419,longer,11
420,didnt,11
421,throw,11
422,used,11
423,immediately,11
424,behind,11
425,photo,11
426,relieved,10
427,help,10
428,bed,10
429,hearing,10
430,son,10
431,apparently,10
432,reminds,10
433,power,10
434,realizing,10
435,ago,10
436,discovered,10
437,point,10
438,across,10
439,hear,10
440,october,10
441,birthday,10
442,struggling,10
443,mean,10
444,talking,10
445,sign,10
446,species,10
447,calls,10
448,meghan,10
449,dna,10
