,source_id,source_name,label,author,title,description,url,published_at,content
0,bbc-news,BBC News,Reliable,https://www.facebook.com/bbcnews,"News Daily: Workplace rights, second Brexit vote warning and SPOTY",Your morning briefing for Monday 17 December 2018.,https://www.bbc.co.uk/news/uk-46575082,2018-12-17T06:20:26Z,"If you want to get this briefing by email, sign up here Flexible or precarious? Image copyright Getty Images Millions of people in the UK are employed on zero-hour contracts, or by agencies or in the so-called ""gig economy"". For some, the flexibility is attra… [+5250 chars]"
1,bbc-news,BBC News,Reliable,https://www.facebook.com/bbcnews,"Five things to know this week: All eyes on Russia, and 100 days to Brexit","From a possible US shutdown to the annual TV love-in with Putin, here's what to watch this week.",https://www.bbc.co.uk/news/world-46551984,2018-12-17T00:24:00Z,"It's Monday, it's a new week, and while we won't pretend to know everything that's going to happen over the next seven days, we have some sense of what's coming up. Here's your briefing on some of the most important and interesting stories happening in the we… [+4547 chars]"
2,bbc-news,BBC News,Reliable,https://www.facebook.com/bbcnews,US shutdown: Empowered Democrats refuse funds for Trump wall,Newly empowered Democrats refuse White House demands for $5bn to help construct the barrier.,https://www.bbc.co.uk/news/world-us-canada-46596272,2018-12-17T17:38:21Z,Image copyright Getty Images Image caption A US Border Patrol vehicle is seen near prototypes for Mr Trump's proposed wall US President Donald Trump's signature campaign pledge to build a wall along the US-Mexico border is at stake in a major budget battle th… [+2976 chars]
3,bbc-news,BBC News,Reliable,https://www.facebook.com/bbcnews,Meghan's dad says daughter 'ghosting' him since wedding,Thomas Markle reveals he texts the Duchess of Sussex every day but she doesn't respond.,https://www.bbc.co.uk/news/uk-46590480,2018-12-17T09:46:20Z,"Image copyright ITV The Duchess of Sussex's father, Thomas Markle, says he texts his daughter every day but has not spoken to her since she married Prince Harry. Speaking to ITV's Good Morning Britain, Mr Markle said he did not understand why Meghan was ""ghos… [+2352 chars]"
4,bbc-news,BBC News,Reliable,https://www.facebook.com/bbcnews,"E-cigarette use among US teens rises dramatically, study says",Discreet versions of e-cigarettes and different flavours may be some of the reasons behind the surge.,https://www.bbc.co.uk/news/world-us-canada-46592521,2018-12-17T14:03:32Z,"Media playback is unsupported on your device Media caption The e-cigarette market is growing fast The use of electronic cigarettes by US teenagers has dramatically risen this year, a new report says. The percentage of 12th grade students, typically aged 17-18… [+2392 chars]"
5,bbc-news,BBC News,Reliable,,Advent calendar 2018: Mo Farah breaks British record time in London Marathon,Great Britain's Mo Farah finishes third at the London Marathon in a new British record as Kenyan Eliud Kipchoge wins the race for a third time.,https://www.bbc.co.uk/sport/av/athletics/46406468,2018-12-21T06:23:57Z,"Britain's Mo Farah finishes third at the London Marathon in a new British record as Kenyan Eliud Kipchoge wins the race for a third time. Farah crossed the line in two hours, six minutes and 21 seconds to beat Steve Jones' 33-year-old record."
6,bbc-news,BBC News,Reliable,https://www.facebook.com/bbcnews,Trump vows 'very long' government shutdown over border wall,The US government will begin to shutdown on Friday at midnight if no budget deal is reached.,https://www.bbc.co.uk/news/world-us-canada-46637638,2018-12-21T13:42:09Z,"Image copyrightGetty Images
US President Donald Trump has threatened a ""very long"" government shutdown if Democrats do not fund his long-promised border wall.
In a series of tweets on Friday, Mr Trump demanded $5bn (£4bn), which was approved by the House bu… [+924 chars]"
7,bbc-news,BBC News,Reliable,https://www.facebook.com/bbcnews,Gatwick airport: How countries counter the drone threat,There are different ways of tackling the threat of rogue devices - from bazookas to trained eagles.,https://www.bbc.co.uk/news/technology-46639099,2018-12-20T18:30:47Z,"Image copyrightPAImage caption
 London's Gatwick Airport was forced to close after drones were spotted over the airfield
Rogue drones ""deliberately"" flown over one of the UK's busiest airports have caused travel chaos for tens of thousands of passengers - b… [+4728 chars]"
8,bbc-news,BBC News,Reliable,BBC News,Thai cave rescue: Rescuer Vern Unsworth praises Wild Boars' resilience,Six months on Vern Unsworth says he is amazed by the group's strength and recovery.,https://www.bbc.co.uk/news/av/world-asia-46604775/thai-cave-rescue-rescuer-vern-unsworth-praises-wild-boars-resilience,2018-12-21T00:07:30Z,
9,bbc-news,BBC News,Reliable,https://www.facebook.com/bbcnews,Fans' delight at Macaulay Home Alone again (but only in an advert),The former child star recreates some of the 1990 film's most famous scenes for an advert.,https://www.bbc.co.uk/news/entertainment-arts-46634337,2018-12-20T14:54:13Z,"Image copyrightReutersImage caption
 Macaulay Culkin will always be associated with the film he starred in 28 years ago
Many, many movie fans will be settling down for their annual festive viewing of Home Alone this Christmas.
Now they have an extra early … [+1327 chars]"
