_id,Title,Date,Rating
ObjectId("5c4119353d494e2808bb5bb2"),Were Members of a ‘Midget Crime Gang’ Suspected of 55 Break-Ins?,17 January 2019,Fake
ObjectId("5c4119353d494e2808bb5bb3"),Did the IRS Admit It ‘Encourages Illegals’ to Steal Social Security Numbers for Taxes?,16 January 2019,Fake
ObjectId("5c4119353d494e2808bb5bb4"),Did Rashida Tlaib and Ilhan Omar Co-Sponsor a Bill to Recognize Muslim Holidays as Federal Holidays?,16 January 2019,Fake
ObjectId("5c4119353d494e2808bb5bb5"),Does This Photograph Show a Mother Snorting Cocaine with Her Toddler?,16 January 2019,Fake
ObjectId("5c4119353d494e2808bb5bb6"),Did President Obama Once Spend $65,000 on Hot Dogs?,16 January 2019,Fake
ObjectId("5c4119353d494e2808bb5bb7"),Did Acid or Electricity Cause This Man to Vaporize?,15 January 2019,Fake
ObjectId("5c4119353d494e2808bb5bb8"),Did Clemson’s Quarterback Say Their White House Meal Was ‘The Best We Ever Had’?,15 January 2019,Fake
ObjectId("5c4119353d494e2808bb5bb9"),Did Retired Soccer Star Mia Hamm Die in January 2019?,15 January 2019,Fake
ObjectId("5c4119353d494e2808bb5bba"),Do Steering Wheels Include Braille So Visually Impaired Drivers Can Find the Horn?,15 January 2019,Fake
ObjectId("5c4119353d494e2808bb5bbb"),Did President Trump Urge Americans to Boycott Chinese Restaurants?,14 January 2019,Fake
ObjectId("5c4119353d494e2808bb5bbc"),Do Motorists Now Face $999 Fines and 3-Year Suspensions for Using Cellphones While Driving?,14 January 2019,Fake
ObjectId("5c4119353d494e2808bb5bbd"),Does a Muslim Community Patrol in New York City Enforce ‘Sharia Law’?,13 January 2019,Fake
ObjectId("5c4119353d494e2808bb5bbe"),Did Clemson’s Quarterback Say Their White House Meal Was ‘The Best We Ever Had’?,15 January 2019,Fake
ObjectId("5c4119353d494e2808bb5bbf"),Will Posting This Notice Stop Facebook from Making Your Posts Public?,27 December 2018,Fake
ObjectId("5c4119353d494e2808bb5bc0"),Do Motorists Now Face $999 Fines and 3-Year Suspensions for Using Cellphones While Driving?,14 January 2019,Fake
ObjectId("5c4119353d494e2808bb5bc1"),Did a 1950s TV Episode Feature a Character Named Trump Who Offered to Build a Protective Wall?,9 January 2017,Fake
ObjectId("5c4119353d494e2808bb5bc2"),Is This a Wall Around Nancy Pelosi’s Home?,12 February 2018,Fake
ObjectId("5c4119353d494e2808bb5bc3"),Did All Democrats Vote Against a 2.8 Percent Social Security COLA Increase?,18 October 2018,Fake
ObjectId("5c4119353d494e2808bb5bc4"),‘Got Another Friend Request from You’ Facebook Warning,7 October 2018,Fake
ObjectId("5c4119353d494e2808bb5bc5"),Is This a Photograph of Christine Blasey Ford with Bill Clinton?,25 September 2018,Fake
ObjectId("5c4119353d494e2808bb5bc6"),Is This a Photograph of Christine Blasey Ford Partying?,23 September 2018,Fake
ObjectId("5c4119353d494e2808bb5bc7"),Did Judge Martha Kavanaugh ‘Rule Against’ the Parents of Her Son’s Accuser, Christine Blasey-Ford?,17 September 2018,Fake
ObjectId("5c4119363d494e2808bb5bc8"),Were Members of a ‘Midget Crime Gang’ Suspected of 55 Break-Ins?,17 January 2019,Fake
ObjectId("5c4119363d494e2808bb5bc9"),Did the IRS Admit It ‘Encourages Illegals’ to Steal Social Security Numbers for Taxes?,16 January 2019,Fake
ObjectId("5c4119363d494e2808bb5bca"),Did Rashida Tlaib and Ilhan Omar Co-Sponsor a Bill to Recognize Muslim Holidays as Federal Holidays?,16 January 2019,Fake
ObjectId("5c4119363d494e2808bb5bcb"),Does This Photograph Show a Mother Snorting Cocaine with Her Toddler?,16 January 2019,Fake
ObjectId("5c4119363d494e2808bb5bcc"),Did President Obama Once Spend $65,000 on Hot Dogs?,16 January 2019,Fake
ObjectId("5c4119363d494e2808bb5bcd"),Did Acid or Electricity Cause This Man to Vaporize?,15 January 2019,Fake
ObjectId("5c4119363d494e2808bb5bce"),Did Clemson’s Quarterback Say Their White House Meal Was ‘The Best We Ever Had’?,15 January 2019,Fake
ObjectId("5c4119363d494e2808bb5bcf"),Did Retired Soccer Star Mia Hamm Die in January 2019?,15 January 2019,Fake
ObjectId("5c4119363d494e2808bb5bd0"),Do Steering Wheels Include Braille So Visually Impaired Drivers Can Find the Horn?,15 January 2019,Fake
ObjectId("5c4119363d494e2808bb5bd1"),Did President Trump Urge Americans to Boycott Chinese Restaurants?,14 January 2019,Fake
ObjectId("5c4119363d494e2808bb5bd2"),Do Motorists Now Face $999 Fines and 3-Year Suspensions for Using Cellphones While Driving?,14 January 2019,Fake
ObjectId("5c4119363d494e2808bb5bd3"),Does a Muslim Community Patrol in New York City Enforce ‘Sharia Law’?,13 January 2019,Fake
ObjectId("5c4119363d494e2808bb5bd4"),Did Clemson’s Quarterback Say Their White House Meal Was ‘The Best We Ever Had’?,15 January 2019,Fake
ObjectId("5c4119363d494e2808bb5bd5"),Will Posting This Notice Stop Facebook from Making Your Posts Public?,27 December 2018,Fake
ObjectId("5c4119363d494e2808bb5bd6"),Do Motorists Now Face $999 Fines and 3-Year Suspensions for Using Cellphones While Driving?,14 January 2019,Fake
