Title,Text,Author,Source,Label,,,
"Men Are Not Oppressed,' Says Woman Who Has No Idea What It Like To Take Two Whole Escalators To Get To Your Clothi…  ",,The Onion,Twitter,Satirical,,,
LeBron James To Star In ‘Space Jam’ Sequel  ,,The Onion,Twitter,Satirical,,,
Single Woman Getting All Dolled Up To Watch Room Full Of People Make Out This New Year’s Eve  ,,The Onion,Twitter,Satirical,,,
Trump Slams Worldwide Jewish Conspiracy For Not Doing More To Prevent Synagogue Shooting  ,,The Onion,Twitter,Satirical,,,
Earth Passes Through Temporal Vortex Hurling Planet Into Year 2019  ,,The Onion,Twitter,Satirical,,,
Fall Canceled After 3 Billion Seasons  ,,The Onion,Twitter,Satirical,,,
High School Fuckup Now In Charge Of Checking Airport Luggage For Explosives  ,,The Onion,Twitter,Satirical,,,
Taylor Swift Inspires 200 Million Fans To Register To Vote In Tennessee  ,,The Onion,Twitter,Satirical,,,
Woman Shouts Down Hall For Boyfriend To Come Kill Giant Ax Murderer She Found In Bedroom  ,,The Onion,Twitter,Satirical,,,
Mom Wants One Of Those Things Your Sister Has For Christmas  ,,The Onion,Twitter,Satirical,,,
Congress Passes Bill To Add Armed Patrol To U.S. Poverty Line  ,,The Onion,Twitter,Satirical,,,
The Onion Looks Back At 'The Blair Witch Project'  ,,The Onion,Twitter,Satirical,,,
FDA Approves New Pasta Shape  ,,The Onion,Twitter,Satirical,,,
Horrifying Doll Sitting On Neighbor's Porch Whether It's Halloween Or Not  ,,The Onion,Twitter,Satirical,,,
6th-Graders Feel Kind Of Bad After Seeing How Easy It Was To Make Young Teacher Cry  ,,The Onion,Twitter,Satirical,,,
Couple Dressed As Mario And Luigi Drunkenly Making Out On Couch  ,,The Onion,Twitter,Satirical,,,
GOP Officials: Kavanaugh Shouldn’t Be Held Accountable For Something He Did As White Teenager…  ,,The Onion,Twitter,Satirical,,,
Pope Starting To Suspect Bishops Getting Huge Erections During Meeting On Child Sexual Abuse Might Be Pedophiles…  ,,The Onion,Twitter,Satirical,,,
"Bill Cosby Attacks Disrespectful Behavior, Skyrocketing Crime Rate Among Elderly Black Male Comedians…  ",,The Onion,Twitter,Satirical,,,
CEO Unveils Bold New Plan To Undo Damage From Last Year’s Bold New Plan  ,,The Onion,Twitter,Satirical,,,
"Hurricane Florence hit the Carolinas last week, leaving many residents stranded or displaced by rising floodwaters.…  ",,The Onion,Twitter,Satirical,,,
"Man Hates Being Put In Position Where He Has To Think, Feel, Or Act  ",,The Onion,Twitter,Satirical,,,
Stripper Thinks Customer Flirting With Her  ,,The Onion,Twitter,Satirical,,,
"We’ve confirmed that there will also be one with a really pretty scalloped edge, one with a big hole in the middle…  //t.co/FLBy5gHDWI",,The Onion,Twitter,Satirical,,,
Biden Hands Out Loose GT Cola Can To Unexpected Trick-Or-Treater  ,,The Onion,Twitter,Satirical,,,
Jaws Of Death Used To Stuff Woman Into Burning Car  ,,The Onion,Twitter,Satirical,,,
Alaskan Gray Wolf Can't Believe No One Told Him He’s Got Snow On Nose  ,,The Onion,Twitter,Satirical,,,
RT @ClickHole: Unquestioned Alpha Of The Bathroom: This Guy Has BOTH Hands Up On The Wall Over The Urinal And Is Letting Loose A Kingly Sig…,,The Onion,Twitter,Satirical,,,
Study Finds Owning Cool Leather Jacket More Rewarding Than Raising Children  ,,The Onion,Twitter,Satirical,,,
Trump Boys Raid Sister’s Closet For Sexy Clothes They Can Use To Seduce And Blackmail Robert Mueller…  ,,The Onion,Twitter,Satirical,,,
"Kids Tired Of Hearing Boring Stories About How Father A Skilled, Generous Lover  ",,The Onion,Twitter,Satirical,,,
Millions Of Americans Shocked To Discover Favorite Movie Directed By Woman  ,,The Onion,Twitter,Satirical,,,
Petco Employee Stocks Gerbils By The Cash Register For Impulse Purchases  ,,The Onion,Twitter,Satirical,,,
"If this thing actually happened, why didn’t she come forward 30 years ago with a demand for secret payments to kee…  //t.co/kCh5WQf8m2",,The Onion,Twitter,Satirical,,,
RT @ClickHole: Huge Fucking Disaster: You Just Did Something Weird  ,,The Onion,Twitter,Satirical,,,
Al Roker Strongly Considers Retiring From Creating The Weather  ,,The Onion,Twitter,Satirical,,,
"RT @PatriotHole: Victory For Real Americans: PatriotHole Is Releasing Its First-Ever Video Game, ‘Protect Your Gold From Barack Obama’ http…",,The Onion,Twitter,Satirical,,,
How Colleges Are Appealing To The Digital Native Generation  ,,The Onion,Twitter,Satirical,,,
Popular Designer Dog Breed Just Twisted Spinal Cord Attached To Collapsed Lung  ,,The Onion,Twitter,Satirical,,,
Report: Average American Consuming 4 Ounces Of Cheese Right Now  ,,The Onion,Twitter,Satirical,,,
Will Monday Night Football Cut Jason Witten After The Analyst Went 0 For 65 While Talking?  ,,The Onion,Twitter,Satirical,,,
Guy At Gym Has Precious Little Diary To Keep Track Of All His Exercises  ,,The Onion,Twitter,Satirical,,,
Fleshlighthouse Guides Weary Sailors Home To Realistic Vaginal Texture  ,,The Onion,Twitter,Satirical,,,
Kavanaugh Surprised Senate Not Questioning Fact He Never Went To Law School  ,,The Onion,Twitter,Satirical,,,
Visit  ,,The Onion,Twitter,Satirical,,,
"Of course I’m happy for social progress and all, but this ineffectual shit is not what I signed up for.”…  //t.co/6NqRmQxOui",,The Onion,Twitter,Satirical,,,
Study Finds 79% Of Statistics Now Sobering  ,,The Onion,Twitter,Satirical,,,
Chinese Citizens Kind Of Grateful To Not Have Access To All Of Internet  ,,The Onion,Twitter,Satirical,,,
Poland Spring Develops New Eco-Friendly Bottle That Only Takes 300 Years To Decompose  ,,The Onion,Twitter,Satirical,,,
Government Shutdown Forces National Zoo To Turn Off Panda Suicide Cam  ,,The Onion,Twitter,Satirical,,,
ISIS Operatives Destroy Hofner Bass Guitar Signed By Paul McCartney  ,,The Onion,Twitter,Satirical,,,
5 Things To Know About ‘Glass’  ,,The Onion,Twitter,Satirical,,,
"Your Horoscopes — Week Of January 15, 2019  ",,The Onion,Twitter,Satirical,,,
Beauty Industry Exec Keeps Photo Of Crying 15-Year-Old Girl On Desk To Remind Himself Why He Does This…  ,,The Onion,Twitter,Satirical,,,
Dorm Room Decorated With Empty Bottles Of Adderall  ,,The Onion,Twitter,Satirical,,,
White House Holiday Decorations Through History  ,,The Onion,Twitter,Satirical,,,
Woman Takes Short Half-Hour Break From Being Feminist To Enjoy TV Show  ,,The Onion,Twitter,Satirical,,,
Kavanaugh Scores Keg For Christine Blasey Ford Testimony  ,,The Onion,Twitter,Satirical,,,
"I do the crossword every morning, I have a glass of scotch with dinner every night, and in 1937, an enchantress da…  //t.co/czzLWrBy37",,The Onion,Twitter,Satirical,,,
Relationship Experts Say Healthy Couples Should Be Renewing Their Vows 3 Times A Week  ,,The Onion,Twitter,Satirical,,,
Presidential Limo Guns It Around Corner In Attempt To Toss Robert Mueller From Roof  ,,The Onion,Twitter,Satirical,,,
Reddi-Wip Casually Announces Their Nozzles Can Easily Fit Into Most Orifices  ,,The Onion,Twitter,Satirical,,,
Visit  ,,The Onion,Twitter,Satirical,,,
Rafael Nadal Reminds Self It Called ‘Football’ Over There  ,,The Onion,Twitter,Satirical,,,
Impressive New Hire Figures Out Bare Minimum Of Work Job Requires On First Day  ,,The Onion,Twitter,Satirical,,,
Experts Recommend Just Putting Up With Everyone Else  ,,The Onion,Twitter,Satirical,,,
Elizabeth Warren Disappointed After DNA Test Shows Zero Trace Of Presidential Material  ,,The Onion,Twitter,Satirical,,,
