,Title,Text,Author,Source,Label
0,"Judi Dench, Jack Nicholson, Jeremy Irons, Meryl Streep Fondly Recall Getting Start As Part Of 1993 Mouseketeer Clas… https://t.co/LHl4yySedR",,The Onion,Twitter,Satirical
1,"""Christ, the fucking gall, thinking she can just represent the beliefs and desires of the people who elected her."" https://t.co/oS71vZAaEL",,The Onion,Twitter,Satirical
2,Aspen Police Continue Search For Missing Ski https://t.co/GUDC2VnRZT https://t.co/4q5MrYPnlu,,The Onion,Twitter,Satirical
3,Visit https://t.co/csf5QUbhed to see more from the standard bearer of global journalism. https://t.co/HIfg8nvWqP,,The Onion,Twitter,Satirical
4,"‘Yes, But How Did He Die?’ Ghoulish American Public Asks Of Recent Celebrity Death While Rubbing Delicate, Bony Han… https://t.co/cQke4NbiZG",,The Onion,Twitter,Satirical
5,John Bolton Insists Iran Likely Harboring Dangerous Terrorist Osama Bin Laden https://t.co/wnYRASVINn https://t.co/Mem8GsfoyE,,The Onion,Twitter,Satirical
6,Could This Be The Last Season We See Rob Gronkowski Fully Assembled In A Patriots Uniform? https://t.co/QnqTY0RYnu,,The Onion,Twitter,Satirical
7,"‘Don’t Make Me Regret This,’ Mueller Tells Rick Gates Before Uncuffing Him To Work On Investigation Together… https://t.co/IvmMJ05WJG",,The Onion,Twitter,Satirical
8,Pelosi Asks Trump To Delay State of the Union During Shutdown https://t.co/2MQkhe5sxA #WhatDoYouThink? https://t.co/yuInQgTLrv,,The Onion,Twitter,Satirical
9,Poll Finds 100% Of Americans Blame Shutdown Entirely On Colorado Representative Scott Tipton https://t.co/F0cl9uevw1 https://t.co/AHE7SrNoAx,,The Onion,Twitter,Satirical
10,Karen Pence Returns To Work As Part-Time Nude Art Model https://t.co/Rxgyrws0b9 https://t.co/Je4TUnmOfp,,The Onion,Twitter,Satirical
11,Ames Executives Scrambling After New Shovel Design Leaks https://t.co/GW1S66pU39 https://t.co/JdK64Pm0T5,,The Onion,Twitter,Satirical
12,Zamboni Jams Up After Running Over Large Patch Of Loose Teeth https://t.co/HX4EQWtCKs https://t.co/Ed7y7ttrEr,,The Onion,Twitter,Satirical
13,Presumptuous Congressional Freshman Thinks She Can Just Come In And Represent Constituents https://t.co/LAmqOPp2oe https://t.co/nyU8y1oEDD,,The Onion,Twitter,Satirical
14,This The Fuck Harness Sex Shop Worker Has At Home https://t.co/SqtCAGshPd https://t.co/5bHO3VO7Gh,,The Onion,Twitter,Satirical
15,5 Things To Know About ‘Glass’ https://t.co/lZurxD1OGt,,The Onion,Twitter,Satirical
16,Man Nervous About Telling Date He Has Her Kids https://t.co/v8A4HxSMH3 https://t.co/d8R8AvEC2b,,The Onion,Twitter,Satirical
17,Netflix Raising Prices https://t.co/Jz4JqoPvVZ #WhatDoYouThink? https://t.co/Lis6wB22QH,,The Onion,Twitter,Satirical
18,Study: People Far Away From You Not Actually Smaller https://t.co/J89s33Jvin https://t.co/zKtfdDyx39,,The Onion,Twitter,Satirical
19,Thousands Of Eggs Pushed Out Of Nests After Birds Legalize Abortion https://t.co/7te2IsP74I https://t.co/UFpXMlLTgm,,The Onion,Twitter,Satirical
20,Empty Yogurt Cup Completes Tableau Of Used Food Containers On Single Man’s Windowsill https://t.co/eLhghGhlcC https://t.co/oAUUgoK7HT,,The Onion,Twitter,Satirical
