Title,Text,Author,Source,Label
"'Men Are Not Oppressed,' Says Woman Who Has No Idea What It Like To Take Two Whole Escalators To Get To Your Clothi… https://t.co/MN9kpa5B4P",,The Onion,Twitter,Satirical
LeBron James To Star In ‘Space Jam’ Sequel https://t.co/zvNvhNrX3y #WhatDoYouThink? https://t.co/zDQsA9DsaG,,The Onion,Twitter,Satirical
Single Woman Getting All Dolled Up To Watch Room Full Of People Make Out This New Year’s Eve https://t.co/gfMiAxzs4X https://t.co/G9DZw20Pky,,The Onion,Twitter,Satirical
Trump Slams Worldwide Jewish Conspiracy For Not Doing More To Prevent Synagogue Shooting https://t.co/sZbr8ki9Q6 https://t.co/6XFJYGGaAd,,The Onion,Twitter,Satirical
Earth Passes Through Temporal Vortex Hurling Planet Into Year 2019 https://t.co/aWUmS3QtsA https://t.co/iQKOIlKs0L,,The Onion,Twitter,Satirical
Fall Canceled After 3 Billion Seasons https://t.co/lar3Y9L8sW https://t.co/vgKqixue9p,,The Onion,Twitter,Satirical
High School Fuckup Now In Charge Of Checking Airport Luggage For Explosives https://t.co/cdeI12RzmC https://t.co/Dsw8hNYDXR,,The Onion,Twitter,Satirical
Taylor Swift Inspires 200 Million Fans To Register To Vote In Tennessee https://t.co/JQOeTGvK8j https://t.co/iq9cR4j3sM,,The Onion,Twitter,Satirical
Woman Shouts Down Hall For Boyfriend To Come Kill Giant Ax Murderer She Found In Bedroom https://t.co/a0NpE7nULZ https://t.co/6q4zOnwauz,,The Onion,Twitter,Satirical
Mom Wants One Of Those Things Your Sister Has For Christmas https://t.co/EYy62cJPP9 https://t.co/a8raUu2ged,,The Onion,Twitter,Satirical
Congress Passes Bill To Add Armed Patrol To U.S. Poverty Line https://t.co/lPsueG7q4M https://t.co/ql4dxixekG,,The Onion,Twitter,Satirical
The Onion Looks Back At 'The Blair Witch Project' https://t.co/nXlJFgc9bP,,The Onion,Twitter,Satirical
FDA Approves New Pasta Shape https://t.co/ofuhPqVCkB https://t.co/V9h7olYvGJ,,The Onion,Twitter,Satirical
Horrifying Doll Sitting On Neighbor's Porch Whether It's Halloween Or Not https://t.co/NBR1UcWJH8 https://t.co/q2LFet5zbo,,The Onion,Twitter,Satirical
6th-Graders Feel Kind Of Bad After Seeing How Easy It Was To Make Young Teacher Cry https://t.co/vAeMPsvRL4 https://t.co/Dz6okjOJ0t,,The Onion,Twitter,Satirical
Couple Dressed As Mario And Luigi Drunkenly Making Out On Couch https://t.co/qonHZqB8lR https://t.co/DtCqOj7c6o,,The Onion,Twitter,Satirical
GOP Officials: Kavanaugh Shouldn’t Be Held Accountable For Something He Did As White Teenager… https://t.co/b7aCsIXBkA,,The Onion,Twitter,Satirical
Pope Starting To Suspect Bishops Getting Huge Erections During Meeting On Child Sexual Abuse Might Be Pedophiles… https://t.co/Ijf22chkgu,,The Onion,Twitter,Satirical
"Bill Cosby Attacks Disrespectful Behavior, Skyrocketing Crime Rate Among Elderly Black Male Comedians… https://t.co/H25NAApkFd",,The Onion,Twitter,Satirical
CEO Unveils Bold New Plan To Undo Damage From Last Year’s Bold New Plan https://t.co/NYWFezYmzo https://t.co/fxZEucPXYn,,The Onion,Twitter,Satirical
"Hurricane Florence hit the Carolinas last week, leaving many residents stranded or displaced by rising floodwaters.… https://t.co/Gqof3YTB86",,The Onion,Twitter,Satirical
"Man Hates Being Put In Position Where He Has To Think, Feel, Or Act https://t.co/hJN0PRgPmM https://t.co/3FociwRTYd",,The Onion,Twitter,Satirical
Stripper Thinks Customer Flirting With Her https://t.co/5BXCRSiYFt https://t.co/a35J1xazYi,,The Onion,Twitter,Satirical
"""We’ve confirmed that there will also be one with a really pretty scalloped edge, one with a big hole in the middle… https://t.co/FLBy5gHDWI",,The Onion,Twitter,Satirical
Biden Hands Out Loose GT Cola Can To Unexpected Trick-Or-Treater https://t.co/jpPHHTmeVG https://t.co/I1iDwjKRHF,,The Onion,Twitter,Satirical
Jaws Of Death Used To Stuff Woman Into Burning Car https://t.co/jPoUJwA8dw https://t.co/F61gn06FiR,,The Onion,Twitter,Satirical
Alaskan Gray Wolf Can't Believe No One Told Him He’s Got Snow On Nose https://t.co/bGYYjHeF6D https://t.co/O48gz3Pz0R,,The Onion,Twitter,Satirical
RT @ClickHole: Unquestioned Alpha Of The Bathroom: This Guy Has BOTH Hands Up On The Wall Over The Urinal And Is Letting Loose A Kingly Sig…,,The Onion,Twitter,Satirical
Study Finds Owning Cool Leather Jacket More Rewarding Than Raising Children https://t.co/zBEaxYCgRA https://t.co/13uDY2JXk8,,The Onion,Twitter,Satirical
Trump Boys Raid Sister’s Closet For Sexy Clothes They Can Use To Seduce And Blackmail Robert Mueller… https://t.co/NycfKZ4X6X,,The Onion,Twitter,Satirical
"Kids Tired Of Hearing Boring Stories About How Father A Skilled, Generous Lover https://t.co/kIGnXw121G https://t.co/zKTrXXk9VQ",,The Onion,Twitter,Satirical
Millions Of Americans Shocked To Discover Favorite Movie Directed By Woman https://t.co/IFvUhtyNq1 https://t.co/zVmgmtN2Ob,,The Onion,Twitter,Satirical
Petco Employee Stocks Gerbils By The Cash Register For Impulse Purchases https://t.co/YFsSPW2px1 https://t.co/9Fc6mwuXs9,,The Onion,Twitter,Satirical
"""If this thing actually happened, why didn’t she come forward 30 years ago with a demand for secret payments to kee… https://t.co/kCh5WQf8m2",,The Onion,Twitter,Satirical
RT @ClickHole: Huge Fucking Disaster: You Just Did Something Weird https://t.co/MheWM0UbWy https://t.co/DPhpEwaxyk,,The Onion,Twitter,Satirical
Al Roker Strongly Considers Retiring From Creating The Weather https://t.co/wmMxd9W6SI https://t.co/5EaRPihEwq,,The Onion,Twitter,Satirical
"RT @PatriotHole: Victory For Real Americans: PatriotHole Is Releasing Its First-Ever Video Game, ‘Protect Your Gold From Barack Obama’ http…",,The Onion,Twitter,Satirical
How Colleges Are Appealing To The Digital Native Generation https://t.co/qpCNrzFqtS,,The Onion,Twitter,Satirical
Popular Designer Dog Breed Just Twisted Spinal Cord Attached To Collapsed Lung https://t.co/sIZjzi0rsS https://t.co/PZojggcEJX,,The Onion,Twitter,Satirical
Report: Average American Consuming 4 Ounces Of Cheese Right Now https://t.co/mUcSdGuKCH https://t.co/XMEOkse2Xf,,The Onion,Twitter,Satirical
Will Monday Night Football Cut Jason Witten After The Analyst Went 0 For 65 While Talking? https://t.co/Gd23sMowN0,,The Onion,Twitter,Satirical
Guy At Gym Has Precious Little Diary To Keep Track Of All His Exercises https://t.co/vXqVUD8VbZ https://t.co/y2BYWh13HK,,The Onion,Twitter,Satirical
Fleshlighthouse Guides Weary Sailors Home To Realistic Vaginal Texture https://t.co/t9IxEX9we5 https://t.co/C5F90wsxPh,,The Onion,Twitter,Satirical
Kavanaugh Surprised Senate Not Questioning Fact He Never Went To Law School https://t.co/ho1BeYw2Cx https://t.co/7IuZgbRrxW,,The Onion,Twitter,Satirical
Visit https://t.co/csf5QUbhed to see more from the standard bearer of global journalism. https://t.co/Ft60HI9ieU,,The Onion,Twitter,Satirical
"""Of course I’m happy for social progress and all, but this ineffectual shit is not what I signed up for.”… https://t.co/6NqRmQxOui",,The Onion,Twitter,Satirical
Study Finds 79% Of Statistics Now Sobering https://t.co/uGMb7ao2ov https://t.co/SEjJC5yFwJ,,The Onion,Twitter,Satirical
Chinese Citizens Kind Of Grateful To Not Have Access To All Of Internet https://t.co/fjiy1M6P4j https://t.co/26CrlwGcKK,,The Onion,Twitter,Satirical
Poland Spring Develops New Eco-Friendly Bottle That Only Takes 300 Years To Decompose https://t.co/WpbcuIeIju https://t.co/ayp72qPv1V,,The Onion,Twitter,Satirical
Government Shutdown Forces National Zoo To Turn Off Panda Suicide Cam https://t.co/D30fjZO2Yx https://t.co/zwiQmukMOx,,The Onion,Twitter,Satirical
ISIS Operatives Destroy Hofner Bass Guitar Signed By Paul McCartney https://t.co/FJYc7lR0N6 https://t.co/xklq13r9NH,,The Onion,Twitter,Satirical
5 Things To Know About ‘Glass’ https://t.co/lZurxD1OGt,,The Onion,Twitter,Satirical
"Your Horoscopes — Week Of January 15, 2019 https://t.co/D2lC29dFU6 https://t.co/XGXSpUvApO",,The Onion,Twitter,Satirical
Beauty Industry Exec Keeps Photo Of Crying 15-Year-Old Girl On Desk To Remind Himself Why He Does This… https://t.co/ff4xTNdRIO,,The Onion,Twitter,Satirical
Dorm Room Decorated With Empty Bottles Of Adderall https://t.co/pTrHuprr9a https://t.co/HBuvQXICRO,,The Onion,Twitter,Satirical
