Title,Text,Author,Source,Label
Businessman Does His Work Lying On Bed Like Schoolgirl https://t.co/nFrAIWGuKs https://t.co/lwi8QeVMcO,,The Onion,Twitter,Satirical
RT @ClickHole: 8 Photos Of Fat Emma Stone That I Have Brought To You From My Dimension At Great Personal Cost https://t.co/SuStdEjbow https…,,The Onion,Twitter,Satirical
The Best Podcasts Of 2018 https://t.co/BBoyahojb7 https://t.co/vprIqMK6h8,,The Onion,Twitter,Satirical
Report: Underfunded Public Schools Lacking Basic Support Systems Leave Students Perfectly Prepared For Rest Of Life… https://t.co/Ibr2nSinm2,,The Onion,Twitter,Satirical
Ingenious Political Analyst Points Out Irony Of Melania Trump Speaking Out Against Cyber Bullying When Her Husband… https://t.co/7hJC8q8q2b,,The Onion,Twitter,Satirical
"Wildfires More Frequent Because Of Climate Change, Forest Management https://t.co/DQSS05Zbjc #WhatDoYouThink? https://t.co/lGQucQcVhn",,The Onion,Twitter,Satirical
Researchers: Quality Of Sleep May Be Affected By Abandoning Family In 1994 https://t.co/Pem1bFP5GQ https://t.co/ruOZqp9LRW,,The Onion,Twitter,Satirical
National News Highlights https://t.co/k2UKLvmkem,,The Onion,Twitter,Satirical
Georgia GOP Demands Stacey Abrams Step Down As Candidate To Avoid Conflict Of Interest https://t.co/MQsaFElQBq https://t.co/xwWMi9oGfu,,The Onion,Twitter,Satirical
Middle School Janitor Can Already Tell He Going To Have To Befriend New Kid https://t.co/2LG70bJlXW https://t.co/FhEEYBT1J4,,The Onion,Twitter,Satirical
‘Seek Funding’ Step Added To Scientific Method https://t.co/RCL2NIWanJ https://t.co/qBCVkwCO7w,,The Onion,Twitter,Satirical
"Shit, Guy In Front Of You Ordering For Entire Construction Crew https://t.co/v3HpmCMlkU https://t.co/JWjFqc2NAz",,The Onion,Twitter,Satirical
All-Knowing Invisible Hand Of Free Market Once Again Guides Millions In Profits To Nation’s Bead Stores… https://t.co/SjM4pAZAHY,,The Onion,Twitter,Satirical
"Review: ‘Red Dead Redemption 2’ Delivers With A Beautifully Rendered World, But Stumbles As An Immersive Experience… https://t.co/dBmIW2pKYJ",,The Onion,Twitter,Satirical
U.S. officials have deported a 95-year-old former Nazi labor camp guard named Jakiw Palij back to Germany for his r… https://t.co/QgvBTcqIcJ,,The Onion,Twitter,Satirical
"RT @ClickHole: Atheists Rejoice: Stephen Hawking’s Ghost Just Confirmed That God Doesn’t Exist, Though There’s A Huge Mean Horse In Heaven…",,The Onion,Twitter,Satirical
RT @ClickHole: Environmental Crisis: This Photo Of A Baboon Eating The Bugs Out Of Regis Philbin’s Hair On A Tiny Chunk Of Melting Ice Show…,,The Onion,Twitter,Satirical
RT @ClickHole: Bad Game Design: This Incredibly Lifelike Simulation Of New York City Is Ruined By The Unrealistic Presence Of A Spider-Them…,,The Onion,Twitter,Satirical
Area Man A Staunch Single-Gender Voter https://t.co/XBCogK5vch https://t.co/y4C1phC9ys,,The Onion,Twitter,Satirical
RT @ClickHole: The Duality Of Man: This Little Boy’s Screams Are Similar To Those Of A Little Bitch https://t.co/VwD33PLHec https://t.co/Hw…,,The Onion,Twitter,Satirical
Paul McCartney Saddened After Learning About Death Of Longtime Collaborator John Lennon https://t.co/ni4tNmkSoT https://t.co/zzgkTNhAfm,,The Onion,Twitter,Satirical
Uber Offering Discounted Wages For Election Day https://t.co/5nRgi3q1tD https://t.co/qp45JBzUZg,,The Onion,Twitter,Satirical
Everyone At U.N. Watching Trump Speak Can’t Believe They Used To Consider U.S. A Superpower https://t.co/J8sK1w8EbH https://t.co/cZfTPJdaMi,,The Onion,Twitter,Satirical
Tucker Carlson Unsure Why He In Middle Of 20-Minute Rant Against Croutons https://t.co/ZDFodYuzfy https://t.co/xwSCgpFbF9,,The Onion,Twitter,Satirical
Middle Eastern Man Not Sure How Many Days’ Worth Of Airport Detention Clothes To Pack https://t.co/tVh84ykg89 https://t.co/gi8z3iytAC,,The Onion,Twitter,Satirical
NFL Urges Pass Rushers To Try Reaching Peaceful Resolution With Quarterbacks Before Resorting To Tackling… https://t.co/2YZvd44UfS,,The Onion,Twitter,Satirical
RT @ClickHole: Heartwarming: This Super Dad Refuses To Leave The Casino Until He Wins His Daughter’s Tuition Money Back https://t.co/NPzL0V…,,The Onion,Twitter,Satirical
"CDC: Alzheimer’s, Dementia Cases To Double By 2060 https://t.co/Ei197EacQy #WhatDoYouThink? https://t.co/sNt6hR6L0r",,The Onion,Twitter,Satirical
RT @thetakeout: A blind taste test to determine the best boxed mac-and-cheese https://t.co/b5Ex0yMxdx https://t.co/15rSTuKbmA,,The Onion,Twitter,Satirical
Report: You Have Been Selected To Make A Purchase At The Onion Store https://t.co/k6ZF5RCJyr https://t.co/F8V6Cnvsgs,,The Onion,Twitter,Satirical
White House Increases Number Of Asylum Seekers Allowed To Enter Spike-Filled Refugee Compactor… https://t.co/cCPtprk3yw,,The Onion,Twitter,Satirical
Serial Killer Admits He’s Lost Track Of Pattern He Was Going For Originally https://t.co/3EPEuFIbRl https://t.co/8CYLvlOyi3,,The Onion,Twitter,Satirical
"RT @ClickHole: Look Away, Christians: It Is The Devil https://t.co/86z1SJ3rSy https://t.co/4b9uateZ1l",,The Onion,Twitter,Satirical
5 Things To Know About Rachel Maddow https://t.co/WUHhkNQQei,,The Onion,Twitter,Satirical
Biden To Decide On 2020 Run By January https://t.co/SQrkoCXh3J #WhatDoYouThink? https://t.co/3OoX9gtytC,,The Onion,Twitter,Satirical
Teacher In Cash-Strapped Ohio School District Forced To Make Do With Centuries-Old Firearms https://t.co/rTjAERdLnt https://t.co/KRrAaBg4jq,,The Onion,Twitter,Satirical
Conceptual Genius Goes As Self For Halloween https://t.co/OE9tTKtGgI https://t.co/0G1234cWXF,,The Onion,Twitter,Satirical
GOP Strips Steve King Of Post On Powerful House Segregation Committee https://t.co/DixS6XLNVt https://t.co/Ft0AFXlNuz,,The Onion,Twitter,Satirical
Homemade DNA Test Proves Trump Boys Are At Least One Jar Blood https://t.co/rJzucOolgT https://t.co/t8fN66fUZT,,The Onion,Twitter,Satirical
Man Parallel Parking Tries To Leave Enough Room Between Cars To Infuriate Other Drivers Into Just Giving Up… https://t.co/iCUXKQnAij,,The Onion,Twitter,Satirical
City Planner Gets Halfway Through Designing City Before Realizing He’s Just Doing Philadelphia Again… https://t.co/joU7ybWsae,,The Onion,Twitter,Satirical
Man Discovers Huge Cache Of Rare Fossils While Walking Through Natural History Museum https://t.co/uLYNwPjwpX https://t.co/EGKObJkMK3,,The Onion,Twitter,Satirical
"Disgusting, Unusable Shopping Cart Has Single Sprig Of Parsley In It https://t.co/NK6cv5u8BJ https://t.co/LEGPKrpoit",,The Onion,Twitter,Satirical
Saudis Admit Journalist Khashoggi Died During Botched Assassination Attempt https://t.co/RtLR5l4A6C… https://t.co/8o43IJwBW2,,The Onion,Twitter,Satirical
